description,issue_type
I need assistance with my grade report.,Transcript
How do I apply for financial aid?,Scholarship
When is the deadline for this exam?,Examination
This is a question I couldn't categorize.,Other
I need a signature on my application form.,Signature
Can you explain the course enrollment process?,Enrollment
I’ve lost my transcript; what should I do?,Transcript
Do you offer scholarships for graduate students?,Scholarship
What should I bring to the exam room?,Examination
I’m asking a general question.,Other
Could you please sign this document for me?,Signature
How do I fix issues with course enrollment?,Enrollment
Can I get an official transcript?,Transcript
What are the scholarship eligibility requirements?,Scholarship
Is there a way to reschedule my exam?,Examination
My question is about general information.,Other
I need your signature for this approval document.,Signature
I’m facing issues with course registration.,Enrollment
I need to check my transcript details.,Transcript
What types of scholarships are available?,Scholarship
What’s the procedure for rescheduling an exam?,Examination
This is just a general inquiry.,Other
Please sign my form for approval.,Signature
How can I modify my course selection?,Enrollment
How do I get a certified copy of my transcript?,Transcript
Are scholarships based on merit or financial need?,Scholarship
How do I register for an exam?,Examination
This doesn’t fit into any predefined category.,Other
I need a signature on my leave request.,Signature
How do I get my academic transcript?,Transcript
When is the last day to apply for a scholarship?,Scholarship
Can I postpone my exam?,Examination
I just need general guidance.,Other
Can you help me complete the registration?,Enrollment
I need assistance with my grade report.,Transcript
How do I apply for financial aid?,Scholarship
When is the deadline for this exam?,Examination
This is a question I couldn't categorize.,Other
I need a signature on my application form.,Signature
Can you explain the course enrollment process?,Enrollment
I’ve lost my transcript; what should I do?,Transcript
Do you offer scholarships for graduate students?,Scholarship
What should I bring to the exam room?,Examination
I’m asking a general question.,Other
Could you please sign this document for me?,Signature
How do I fix issues with course enrollment?,Enrollment
Can I get an official transcript?,Transcript
What are the scholarship eligibility requirements?,Scholarship
Is there a way to reschedule my exam?,Examination
My question is about general information.,Other
I need your signature for this approval document.,Signature
I’m facing issues with course registration.,Enrollment
I need to check my transcript details.,Transcript
What types of scholarships are available?,Scholarship
What’s the procedure for rescheduling an exam?,Examination
This is just a general inquiry.,Other
Please sign my form for approval.,Signature
How can I modify my course selection?,Enrollment
How do I get a certified copy of my transcript?,Transcript
Are scholarships based on merit or financial need?,Scholarship
How do I register for an exam?,Examination
This doesn’t fit into any predefined category.,Other
I need a signature on my leave request.,Signature
How do I get my academic transcript?,Transcript
When is the last day to apply for a scholarship?,Scholarship
Can I postpone my exam?,Examination
I just need general guidance.,Other
Can you help me complete the registration?,Enrollment
I need assistance with my grade report.,Transcript
How do I apply for financial aid?,Scholarship
When is the deadline for this exam?,Examination
This is a question I couldn't categorize.,Other
I need a signature on my application form.,Signature
Can you explain the course enrollment process?,Enrollment
I’ve lost my transcript; what should I do?,Transcript
Do you offer scholarships for graduate students?,Scholarship
What should I bring to the exam room?,Examination
I’m asking a general question.,Other
Could you please sign this document for me?,Signature
How do I fix issues with course enrollment?,Enrollment
Can I get an official transcript?,Transcript
What are the scholarship eligibility requirements?,Scholarship
Is there a way to reschedule my exam?,Examination
My question is about general information.,Other
I need your signature for this approval document.,Signature
I’m facing issues with course registration.,Enrollment
I need to check my transcript details.,Transcript
What types of scholarships are available?,Scholarship
What’s the procedure for rescheduling an exam?,Examination
This is just a general inquiry.,Other
Please sign my form for approval.,Signature
How can I modify my course selection?,Enrollment
How do I get a certified copy of my transcript?,Transcript
Are scholarships based on merit or financial need?,Scholarship
How do I register for an exam?,Examination
This doesn’t fit into any predefined category.,Other
I need a signature on my leave request.,Signature
How do I get my academic transcript?,Transcript
When is the last day to apply for a scholarship?,Scholarship
Can I postpone my exam?,Examination
I just need general guidance.,Other
Can you help me complete the registration?,Enrollment
I need assistance with my grade report.,Transcript
How do I apply for financial aid?,Scholarship
When is the deadline for this exam?,Examination
This is a question I couldn't categorize.,Other
I need a signature on my application form.,Signature
Can you explain the course enrollment process?,Enrollment
I’ve lost my transcript; what should I do?,Transcript
Do you offer scholarships for graduate students?,Scholarship
What should I bring to the exam room?,Examination
I’m asking a general question.,Other
Could you please sign this document for me?,Signature
How do I fix issues with course enrollment?,Enrollment
Can I get an official transcript?,Transcript
What are the scholarship eligibility requirements?,Scholarship
Is there a way to reschedule my exam?,Examination
My question is about general information.,Other
I need your signature for this approval document.,Signature
I’m facing issues with course registration.,Enrollment
I need to check my transcript details.,Transcript
What types of scholarships are available?,Scholarship
What’s the procedure for rescheduling an exam?,Examination
This is just a general inquiry.,Other
Please sign my form for approval.,Signature
How can I modify my course selection?,Enrollment
How do I get a certified copy of my transcript?,Transcript
Are scholarships based on merit or financial need?,Scholarship
How do I register for an exam?,Examination
This doesn’t fit into any predefined category.,Other
I need a signature on my leave request.,Signature
How do I get my academic transcript?,Transcript
When is the last day to apply for a scholarship?,Scholarship
Can I postpone my exam?,Examination
I just need general guidance.,Other
Can you help me complete the registration?,Enrollment
I need assistance with my grade report.,Transcript
How do I apply for financial aid?,Scholarship
When is the deadline for this exam?,Examination
This is a question I couldn't categorize.,Other
I need a signature on my application form.,Signature
Can you explain the course enrollment process?,Enrollment
I’ve lost my transcript; what should I do?,Transcript
Do you offer scholarships for graduate students?,Scholarship
What should I bring to the exam room?,Examination
I’m asking a general question.,Other
Could you please sign this document for me?,Signature
How do I fix issues with course enrollment?,Enrollment
Can I get an official transcript?,Transcript
What are the scholarship eligibility requirements?,Scholarship
Is there a way to reschedule my exam?,Examination
My question is about general information.,Other
I need your signature for this approval document.,Signature
I’m facing issues with course registration.,Enrollment
I need to check my transcript details.,Transcript
What types of scholarships are available?,Scholarship
What’s the procedure for rescheduling an exam?,Examination
This is just a general inquiry.,Other
Please sign my form for approval.,Signature
How can I modify my course selection?,Enrollment
How do I get a certified copy of my transcript?,Transcript
Are scholarships based on merit or financial need?,Scholarship
How do I register for an exam?,Examination
This doesn’t fit into any predefined category.,Other
I need a signature on my leave request.,Signature
How do I get my academic transcript?,Transcript
When is the last day to apply for a scholarship?,Scholarship
Can I postpone my exam?,Examination
I just need general guidance.,Other
Can you help me complete the registration?,Enrollment
I need assistance with my grade report.,Transcript
How do I apply for financial aid?,Scholarship
When is the deadline for this exam?,Examination
This is a question I couldn't categorize.,Other
I need a signature on my application form.,Signature
Can you explain the course enrollment process?,Enrollment
I’ve lost my transcript; what should I do?,Transcript
Do you offer scholarships for graduate students?,Scholarship
What should I bring to the exam room?,Examination
I’m asking a general question.,Other
Could you please sign this document for me?,Signature
How do I fix issues with course enrollment?,Enrollment
Can I get an official transcript?,Transcript
What are the scholarship eligibility requirements?,Scholarship
Is there a way to reschedule my exam?,Examination
My question is about general information.,Other
I need your signature for this approval document.,Signature
I’m facing issues with course registration.,Enrollment
I need to check my transcript details.,Transcript
What types of scholarships are available?,Scholarship
What’s the procedure for rescheduling an exam?,Examination
This is just a general inquiry.,Other
Please sign my form for approval.,Signature
How can I modify my course selection?,Enrollment
How do I get a certified copy of my transcript?,Transcript
Are scholarships based on merit or financial need?,Scholarship
How do I register for an exam?,Examination
This doesn’t fit into any predefined category.,Other
I need a signature on my leave request.,Signature
How do I get my academic transcript?,Transcript
When is the last day to apply for a scholarship?,Scholarship
Can I postpone my exam?,Examination
I just need general guidance.,Other
Can you help me complete the registration?,Enrollment
I need assistance with my grade report.,Transcript
How do I apply for financial aid?,Scholarship
When is the deadline for this exam?,Examination
This is a question I couldn't categorize.,Other
I need a signature on my application form.,Signature
Can you explain the course enrollment process?,Enrollment
I’ve lost my transcript; what should I do?,Transcript
Do you offer scholarships for graduate students?,Scholarship
What should I bring to the exam room?,Examination
I’m asking a general question.,Other
Could you please sign this document for me?,Signature
How do I fix issues with course enrollment?,Enrollment
Can I get an official transcript?,Transcript
What are the scholarship eligibility requirements?,Scholarship
Is there a way to reschedule my exam?,Examination
My question is about general information.,Other
I need your signature for this approval document.,Signature
I’m facing issues with course registration.,Enrollment
I need to check my transcript details.,Transcript
What types of scholarships are available?,Scholarship
What’s the procedure for rescheduling an exam?,Examination
This is just a general inquiry.,Other
Please sign my form for approval.,Signature
How can I modify my course selection?,Enrollment
How do I get a certified copy of my transcript?,Transcript
Are scholarships based on merit or financial need?,Scholarship
How do I register for an exam?,Examination
This doesn’t fit into any predefined category.,Other
I need a signature on my leave request.,Signature
How do I get my academic transcript?,Transcript
When is the last day to apply for a scholarship?,Scholarship
Can I postpone my exam?,Examination
I just need general guidance.,Other
Can you help me complete the registration?,Enrollment
I need assistance with my grade report.,Transcript
How do I apply for financial aid?,Scholarship
When is the deadline for this exam?,Examination
This is a question I couldn't categorize.,Other
I need a signature on my application form.,Signature
Can you explain the course enrollment process?,Enrollment
I’ve lost my transcript; what should I do?,Transcript
Do you offer scholarships for graduate students?,Scholarship
What should I bring to the exam room?,Examination
I’m asking a general question.,Other
Could you please sign this document for me?,Signature
How do I fix issues with course enrollment?,Enrollment
Can I get an official transcript?,Transcript
What are the scholarship eligibility requirements?,Scholarship
Is there a way to reschedule my exam?,Examination
My question is about general information.,Other
I need your signature for this approval document.,Signature
I’m facing issues with course registration.,Enrollment
I need to check my transcript details.,Transcript
What types of scholarships are available?,Scholarship
What’s the procedure for rescheduling an exam?,Examination
This is just a general inquiry.,Other
Please sign my form for approval.,Signature
How can I modify my course selection?,Enrollment
How do I get a certified copy of my transcript?,Transcript
Are scholarships based on merit or financial need?,Scholarship
How do I register for an exam?,Examination
This doesn’t fit into any predefined category.,Other
I need a signature on my leave request.,Signature
How do I get my academic transcript?,Transcript
When is the last day to apply for a scholarship?,Scholarship
Can I postpone my exam?,Examination
I just need general guidance.,Other
Can you help me complete the registration?,Enrollment
I need assistance with my grade report.,Transcript
How do I apply for financial aid?,Scholarship
When is the deadline for this exam?,Examination
This is a question I couldn't categorize.,Other
I need a signature on my application form.,Signature
Can you explain the course enrollment process?,Enrollment
I’ve lost my transcript; what should I do?,Transcript
Do you offer scholarships for graduate students?,Scholarship
What should I bring to the exam room?,Examination
I’m asking a general question.,Other
Could you please sign this document for me?,Signature
How do I fix issues with course enrollment?,Enrollment
Can I get an official transcript?,Transcript
What are the scholarship eligibility requirements?,Scholarship
Is there a way to reschedule my exam?,Examination
My question is about general information.,Other
I need your signature for this approval document.,Signature
I’m facing issues with course registration.,Enrollment
I need to check my transcript details.,Transcript
What types of scholarships are available?,Scholarship
What’s the procedure for rescheduling an exam?,Examination
This is just a general inquiry.,Other
Please sign my form for approval.,Signature
How can I modify my course selection?,Enrollment
How do I get a certified copy of my transcript?,Transcript
Are scholarships based on merit or financial need?,Scholarship
How do I register for an exam?,Examination
This doesn’t fit into any predefined category.,Other
I need a signature on my leave request.,Signature
How do I get my academic transcript?,Transcript
When is the last day to apply for a scholarship?,Scholarship
Can I postpone my exam?,Examination
I just need general guidance.,Other
Can you help me complete the registration?,Enrollment
I need assistance with my grade report.,Transcript
How do I apply for financial aid?,Scholarship
When is the deadline for this exam?,Examination
This is a question I couldn't categorize.,Other
I need a signature on my application form.,Signature
Can you explain the course enrollment process?,Enrollment
I’ve lost my transcript; what should I do?,Transcript
Do you offer scholarships for graduate students?,Scholarship
What should I bring to the exam room?,Examination
I’m asking a general question.,Other
Could you please sign this document for me?,Signature
How do I fix issues with course enrollment?,Enrollment
Can I get an official transcript?,Transcript
What are the scholarship eligibility requirements?,Scholarship
Is there a way to reschedule my exam?,Examination
My question is about general information.,Other
I need your signature for this approval document.,Signature
I’m facing issues with course registration.,Enrollment
I need to check my transcript details.,Transcript
What types of scholarships are available?,Scholarship
What’s the procedure for rescheduling an exam?,Examination
This is just a general inquiry.,Other
Please sign my form for approval.,Signature
How can I modify my course selection?,Enrollment
How do I get a certified copy of my transcript?,Transcript
Are scholarships based on merit or financial need?,Scholarship
How do I register for an exam?,Examination
This doesn’t fit into any predefined category.,Other
I need a signature on my leave request.,Signature
How do I get my academic transcript?,Transcript
When is the last day to apply for a scholarship?,Scholarship
Can I postpone my exam?,Examination
I just need general guidance.,Other
Can you help me complete the registration?,Enrollment
I need assistance with my grade report.,Transcript
How do I apply for financial aid?,Scholarship
When is the deadline for this exam?,Examination
This is a question I couldn't categorize.,Other
I need a signature on my application form.,Signature
Can you explain the course enrollment process?,Enrollment
I’ve lost my transcript; what should I do?,Transcript
Do you offer scholarships for graduate students?,Scholarship
What should I bring to the exam room?,Examination
I’m asking a general question.,Other
Could you please sign this document for me?,Signature
How do I fix issues with course enrollment?,Enrollment
Can I get an official transcript?,Transcript
What are the scholarship eligibility requirements?,Scholarship
Is there a way to reschedule my exam?,Examination
My question is about general information.,Other
I need your signature for this approval document.,Signature
I’m facing issues with course registration.,Enrollment
I need to check my transcript details.,Transcript
What types of scholarships are available?,Scholarship
What’s the procedure for rescheduling an exam?,Examination
This is just a general inquiry.,Other
Please sign my form for approval.,Signature
How can I modify my course selection?,Enrollment
How do I get a certified copy of my transcript?,Transcript
Are scholarships based on merit or financial need?,Scholarship
How do I register for an exam?,Examination
This doesn’t fit into any predefined category.,Other
I need a signature on my leave request.,Signature
How do I get my academic transcript?,Transcript
When is the last day to apply for a scholarship?,Scholarship
Can I postpone my exam?,Examination
I just need general guidance.,Other
Can you help me complete the registration?,Enrollment
I need assistance with my grade report.,Transcript
How do I apply for financial aid?,Scholarship
When is the deadline for this exam?,Examination
This is a question I couldn't categorize.,Other
I need a signature on my application form.,Signature
Can you explain the course enrollment process?,Enrollment
I’ve lost my transcript; what should I do?,Transcript
Do you offer scholarships for graduate students?,Scholarship
What should I bring to the exam room?,Examination
I’m asking a general question.,Other
Could you please sign this document for me?,Signature
How do I fix issues with course enrollment?,Enrollment
Can I get an official transcript?,Transcript
What are the scholarship eligibility requirements?,Scholarship
Is there a way to reschedule my exam?,Examination
My question is about general information.,Other
I need your signature for this approval document.,Signature
I’m facing issues with course registration.,Enrollment
I need to check my transcript details.,Transcript
What types of scholarships are available?,Scholarship
What’s the procedure for rescheduling an exam?,Examination
This is just a general inquiry.,Other
Please sign my form for approval.,Signature
How can I modify my course selection?,Enrollment
How do I get a certified copy of my transcript?,Transcript
Are scholarships based on merit or financial need?,Scholarship
How do I register for an exam?,Examination
This doesn’t fit into any predefined category.,Other
I need a signature on my leave request.,Signature
How do I get my academic transcript?,Transcript
When is the last day to apply for a scholarship?,Scholarship
Can I postpone my exam?,Examination
I just need general guidance.,Other
Can you help me complete the registration?,Enrollment
I need assistance with my grade report.,Transcript
How do I apply for financial aid?,Scholarship
When is the deadline for this exam?,Examination
This is a question I couldn't categorize.,Other
I need a signature on my application form.,Signature
Can you explain the course enrollment process?,Enrollment
I’ve lost my transcript; what should I do?,Transcript
Do you offer scholarships for graduate students?,Scholarship
What should I bring to the exam room?,Examination
I’m asking a general question.,Other
Could you please sign this document for me?,Signature
How do I fix issues with course enrollment?,Enrollment
Can I get an official transcript?,Transcript
What are the scholarship eligibility requirements?,Scholarship
Is there a way to reschedule my exam?,Examination
My question is about general information.,Other
I need your signature for this approval document.,Signature
I’m facing issues with course registration.,Enrollment
I need to check my transcript details.,Transcript
What types of scholarships are available?,Scholarship
What’s the procedure for rescheduling an exam?,Examination
This is just a general inquiry.,Other
Please sign my form for approval.,Signature
How can I modify my course selection?,Enrollment
How do I get a certified copy of my transcript?,Transcript
Are scholarships based on merit or financial need?,Scholarship
How do I register for an exam?,Examination
This doesn’t fit into any predefined category.,Other
I need a signature on my leave request.,Signature
How do I get my academic transcript?,Transcript
When is the last day to apply for a scholarship?,Scholarship
Can I postpone my exam?,Examination
I just need general guidance.,Other
Can you help me complete the registration?,Enrollment
I need assistance with my grade report.,Transcript
How do I apply for financial aid?,Scholarship
When is the deadline for this exam?,Examination
This is a question I couldn't categorize.,Other
I need a signature on my application form.,Signature
Can you explain the course enrollment process?,Enrollment
I’ve lost my transcript; what should I do?,Transcript
Do you offer scholarships for graduate students?,Scholarship
What should I bring to the exam room?,Examination
I’m asking a general question.,Other
Could you please sign this document for me?,Signature
How do I fix issues with course enrollment?,Enrollment
Can I get an official transcript?,Transcript
What are the scholarship eligibility requirements?,Scholarship
Is there a way to reschedule my exam?,Examination
My question is about general information.,Other
I need your signature for this approval document.,Signature
I’m facing issues with course registration.,Enrollment
I need to check my transcript details.,Transcript
What types of scholarships are available?,Scholarship
What’s the procedure for rescheduling an exam?,Examination
This is just a general inquiry.,Other
Please sign my form for approval.,Signature
How can I modify my course selection?,Enrollment
How do I get a certified copy of my transcript?,Transcript
Are scholarships based on merit or financial need?,Scholarship
How do I register for an exam?,Examination
This doesn’t fit into any predefined category.,Other
I need a signature on my leave request.,Signature
How do I get my academic transcript?,Transcript
When is the last day to apply for a scholarship?,Scholarship
Can I postpone my exam?,Examination
I just need general guidance.,Other
Can you help me complete the registration?,Enrollment
I need assistance with my grade report.,Transcript
How do I apply for financial aid?,Scholarship
When is the deadline for this exam?,Examination
This is a question I couldn't categorize.,Other
I need a signature on my application form.,Signature
Can you explain the course enrollment process?,Enrollment
I’ve lost my transcript; what should I do?,Transcript
Do you offer scholarships for graduate students?,Scholarship
What should I bring to the exam room?,Examination
I’m asking a general question.,Other
Could you please sign this document for me?,Signature
How do I fix issues with course enrollment?,Enrollment
Can I get an official transcript?,Transcript
What are the scholarship eligibility requirements?,Scholarship
Is there a way to reschedule my exam?,Examination
My question is about general information.,Other
I need your signature for this approval document.,Signature
I’m facing issues with course registration.,Enrollment
I need to check my transcript details.,Transcript
What types of scholarships are available?,Scholarship
What’s the procedure for rescheduling an exam?,Examination
This is just a general inquiry.,Other
Please sign my form for approval.,Signature
How can I modify my course selection?,Enrollment
How do I get a certified copy of my transcript?,Transcript
Are scholarships based on merit or financial need?,Scholarship
How do I register for an exam?,Examination
This doesn’t fit into any predefined category.,Other
I need a signature on my leave request.,Signature
How do I get my academic transcript?,Transcript
When is the last day to apply for a scholarship?,Scholarship
Can I postpone my exam?,Examination
I just need general guidance.,Other
Can you help me complete the registration?,Enrollment
I need assistance with my grade report.,Transcript
How do I apply for financial aid?,Scholarship
When is the deadline for this exam?,Examination
This is a question I couldn't categorize.,Other
I need a signature on my application form.,Signature
Can you explain the course enrollment process?,Enrollment
I’ve lost my transcript; what should I do?,Transcript
Do you offer scholarships for graduate students?,Scholarship
What should I bring to the exam room?,Examination
I’m asking a general question.,Other
Could you please sign this document for me?,Signature
How do I fix issues with course enrollment?,Enrollment
Can I get an official transcript?,Transcript
What are the scholarship eligibility requirements?,Scholarship
Is there a way to reschedule my exam?,Examination
My question is about general information.,Other
I need your signature for this approval document.,Signature
I’m facing issues with course registration.,Enrollment
I need to check my transcript details.,Transcript
What types of scholarships are available?,Scholarship
What’s the procedure for rescheduling an exam?,Examination
This is just a general inquiry.,Other
Please sign my form for approval.,Signature
How can I modify my course selection?,Enrollment
How do I get a certified copy of my transcript?,Transcript
Are scholarships based on merit or financial need?,Scholarship
How do I register for an exam?,Examination
This doesn’t fit into any predefined category.,Other
I need a signature on my leave request.,Signature
How do I get my academic transcript?,Transcript
When is the last day to apply for a scholarship?,Scholarship
Can I postpone my exam?,Examination
I just need general guidance.,Other
Can you help me complete the registration?,Enrollment
I need assistance with my grade report.,Transcript
How do I apply for financial aid?,Scholarship
When is the deadline for this exam?,Examination
This is a question I couldn't categorize.,Other
I need a signature on my application form.,Signature
Can you explain the course enrollment process?,Enrollment
I’ve lost my transcript; what should I do?,Transcript
Do you offer scholarships for graduate students?,Scholarship
What should I bring to the exam room?,Examination
I’m asking a general question.,Other
Could you please sign this document for me?,Signature
How do I fix issues with course enrollment?,Enrollment
Can I get an official transcript?,Transcript
What are the scholarship eligibility requirements?,Scholarship
Is there a way to reschedule my exam?,Examination
My question is about general information.,Other
I need your signature for this approval document.,Signature
I’m facing issues with course registration.,Enrollment
I need to check my transcript details.,Transcript
What types of scholarships are available?,Scholarship
What’s the procedure for rescheduling an exam?,Examination
This is just a general inquiry.,Other
Please sign my form for approval.,Signature
How can I modify my course selection?,Enrollment
How do I get a certified copy of my transcript?,Transcript
Are scholarships based on merit or financial need?,Scholarship
How do I register for an exam?,Examination
This doesn’t fit into any predefined category.,Other
I need a signature on my leave request.,Signature
How do I get my academic transcript?,Transcript
When is the last day to apply for a scholarship?,Scholarship
Can I postpone my exam?,Examination
I just need general guidance.,Other
Can you help me complete the registration?,Enrollment
I need assistance with my grade report.,Transcript
How do I apply for financial aid?,Scholarship
When is the deadline for this exam?,Examination
This is a question I couldn't categorize.,Other
I need a signature on my application form.,Signature
Can you explain the course enrollment process?,Enrollment
I’ve lost my transcript; what should I do?,Transcript
Do you offer scholarships for graduate students?,Scholarship
What should I bring to the exam room?,Examination
I’m asking a general question.,Other
Could you please sign this document for me?,Signature
How do I fix issues with course enrollment?,Enrollment
Can I get an official transcript?,Transcript
What are the scholarship eligibility requirements?,Scholarship
Is there a way to reschedule my exam?,Examination
My question is about general information.,Other
I need your signature for this approval document.,Signature
I’m facing issues with course registration.,Enrollment
I need to check my transcript details.,Transcript
What types of scholarships are available?,Scholarship
What’s the procedure for rescheduling an exam?,Examination
This is just a general inquiry.,Other
Please sign my form for approval.,Signature
How can I modify my course selection?,Enrollment
How do I get a certified copy of my transcript?,Transcript
Are scholarships based on merit or financial need?,Scholarship
How do I register for an exam?,Examination
This doesn’t fit into any predefined category.,Other
I need a signature on my leave request.,Signature
How do I get my academic transcript?,Transcript
When is the last day to apply for a scholarship?,Scholarship
Can I postpone my exam?,Examination
I just need general guidance.,Other
Can you help me complete the registration?,Enrollment
I need assistance with my grade report.,Transcript
How do I apply for financial aid?,Scholarship
When is the deadline for this exam?,Examination
This is a question I couldn't categorize.,Other
I need a signature on my application form.,Signature
Can you explain the course enrollment process?,Enrollment
I’ve lost my transcript; what should I do?,Transcript
Do you offer scholarships for graduate students?,Scholarship
What should I bring to the exam room?,Examination
I’m asking a general question.,Other
Could you please sign this document for me?,Signature
How do I fix issues with course enrollment?,Enrollment
Can I get an official transcript?,Transcript
What are the scholarship eligibility requirements?,Scholarship
Is there a way to reschedule my exam?,Examination
My question is about general information.,Other
I need your signature for this approval document.,Signature
I’m facing issues with course registration.,Enrollment
